Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
31011,2014,1,1,31.7,1,N
31011,2014,1,2,32,1,N
31011,2014,1,3,32.5,1,N
31011,2014,1,4,33.1,1,N
31011,2014,1,5,33.2,1,N
31011,2014,1,6,32.7,1,N
31011,2014,1,7,33.7,1,N
31011,2014,1,8,34.1,1,N
31011,2014,1,9,34.3,1,N
31011,2014,1,10,33.1,1,N
31011,2014,1,11,32.3,1,N
31011,2014,1,12,28.8,1,N
31011,2014,1,13,26.3,1,N
31011,2014,1,14,28.5,1,N
31011,2014,1,15,30.6,1,N
31011,2014,1,16,31.1,1,N
31011,2014,1,17,30.9,1,N
31011,2014,1,18,32,1,N
31011,2014,1,19,30.5,1,N
31011,2014,1,20,30.9,1,N
31011,2014,1,21,30.5,1,N
31011,2014,1,22,32.1,1,N
31011,2014,1,23,30.5,1,N
31011,2014,1,24,32,1,N
31011,2014,1,25,33.1,1,N
31011,2014,1,26,33.7,1,N
31011,2014,1,27,31.2,1,N
31011,2014,1,28,30.3,1,N
31011,2014,1,29,30.5,1,N
31011,2014,1,30,32,1,N
31011,2014,1,31,33.4,1,N
31011,2014,2,1,34.2,1,N
31011,2014,2,2,33.1,1,N
31011,2014,2,3,26,1,N
31011,2014,2,4,29.5,1,N
31011,2014,2,5,25.7,1,N
31011,2014,2,6,27.9,1,N
31011,2014,2,7,26.6,1,N
31011,2014,2,8,28.2,1,N
31011,2014,2,9,30.6,1,N
31011,2014,2,10,30.4,1,N
31011,2014,2,11,29.7,1,N
31011,2014,2,12,29.4,1,N
31011,2014,2,13,29.4,1,N
31011,2014,2,14,29.7,1,N
31011,2014,2,15,30.2,1,N
31011,2014,2,16,31.8,1,N
31011,2014,2,17,31,1,N
31011,2014,2,18,30.2,1,N
31011,2014,2,19,30.4,1,N
31011,2014,2,20,32.6,1,N
31011,2014,2,21,33.4,1,N
31011,2014,2,22,31.1,1,N
31011,2014,2,23,30.2,1,N
31011,2014,2,24,30.8,1,N
31011,2014,2,25,30.6,1,N
31011,2014,2,26,31.4,1,N
31011,2014,2,27,30.2,1,N
31011,2014,2,28,30.6,1,N
31011,2014,3,1,28.6,1,N
31011,2014,3,2,31.6,1,N
31011,2014,3,3,29.6,1,N
31011,2014,3,4,31.1,1,N
31011,2014,3,5,29.5,1,N
