Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
9021,2014,1,1,12.8,1,Y
9021,2014,1,2,9.6,1,Y
9021,2014,1,3,13.8,1,Y
9021,2014,1,4,13,1,Y
9021,2014,1,5,15.9,1,Y
9021,2014,1,6,16.4,1,Y
9021,2014,1,7,16.9,1,Y
9021,2014,1,8,15.7,1,Y
9021,2014,1,9,15.6,1,Y
9021,2014,1,10,16.4,1,Y
9021,2014,1,11,20.6,1,Y
9021,2014,1,12,28.5,1,Y
9021,2014,1,13,20.7,1,Y
9021,2014,1,14,14.5,1,Y
9021,2014,1,15,14.5,1,Y
9021,2014,1,16,18.1,1,Y
9021,2014,1,17,15.6,1,Y
9021,2014,1,18,14.1,1,Y
9021,2014,1,19,19,1,Y
9021,2014,1,20,20.6,1,Y
9021,2014,1,21,19.6,1,Y
9021,2014,1,22,23.4,1,Y
9021,2014,1,23,22.6,1,Y
9021,2014,1,24,23.2,1,Y
9021,2014,1,25,24.5,1,Y
9021,2014,1,26,22.5,1,Y
9021,2014,1,27,15.5,1,Y
9021,2014,1,28,15.5,1,Y
9021,2014,1,29,16.6,1,Y
9021,2014,1,30,17.4,1,Y
9021,2014,1,31,20,1,Y
9021,2014,2,1,17.2,1,N
9021,2014,2,2,16.7,1,N
9021,2014,2,3,17.2,1,N
9021,2014,2,4,21.5,1,N
9021,2014,2,5,20,1,N
9021,2014,2,6,20,1,N
9021,2014,2,7,19.5,1,N
9021,2014,2,8,14.4,1,N
9021,2014,2,9,15.2,1,N
9021,2014,2,10,17,1,N
9021,2014,2,11,17.5,1,N
9021,2014,2,12,20.3,1,N
9021,2014,2,13,20.5,1,N
9021,2014,2,14,19.5,1,N
9021,2014,2,15,15.7,1,N
9021,2014,2,16,13.3,1,N
9021,2014,2,17,17.6,1,N
9021,2014,2,18,18,1,N
9021,2014,2,19,17.3,1,N
9021,2014,2,20,21.5,1,N
9021,2014,2,21,19.6,1,N
9021,2014,2,22,24.1,1,N
9021,2014,2,23,20.1,1,N
9021,2014,2,24,14.8,1,N
9021,2014,2,25,19.8,1,N
9021,2014,2,26,15.9,1,N
9021,2014,2,27,17.1,1,N
9021,2014,2,28,17.1,1,N
9021,2014,3,1,20,1,N
9021,2014,3,2,15.8,1,N
9021,2014,3,3,15.2,1,N
9021,2014,3,4,17.7,1,N
9021,2014,3,5,17.3,1,N
9021,2014,3,6,17.6,1,N
9021,2014,3,7,23.1,1,N
9021,2014,3,8,21,1,N
9021,2014,3,9,12.1,1,N
9021,2014,3,10,12.5,1,N
9021,2014,3,11,16.9,1,N
9021,2014,3,12,19.9,1,N
9021,2014,3,13,20.7,1,N
9021,2014,3,14,14.3,1,N
9021,2014,3,15,8,1,N
9021,2014,3,16,9.8,1,N
9021,2014,3,17,11.9,1,N
9021,2014,3,18,16.2,1,N
9021,2014,3,19,18.1,1,N
9021,2014,3,20,18.8,1,N
9021,2014,3,21,16.7,1,N
9021,2014,3,22,18.7,1,N
9021,2014,3,23,20.4,1,N
9021,2014,3,24,22.8,1,N
9021,2014,3,25,21.6,1,N
9021,2014,3,26,20.2,1,N
9021,2014,3,27,16.6,1,N
9021,2014,3,28,17,1,N
9021,2014,3,29,18.2,1,N
9021,2014,3,30,16.1,1,N
9021,2014,3,31,14.3,1,N
9021,2014,4,1,15.4,1,N
9021,2014,4,2,10.3,1,N
9021,2014,4,3,13.1,1,N
9021,2014,4,4,11.2,1,N
9021,2014,4,5,14.7,1,N
9021,2014,4,6,12.5,1,N
9021,2014,4,7,12.9,1,N
9021,2014,4,8,12.9,1,N
9021,2014,4,9,18.2,1,N
9021,2014,4,10,21.1,1,N
9021,2014,4,11,20.3,1,N
9021,2014,4,12,18.3,1,N
9021,2014,4,13,16.6,1,N
9021,2014,4,14,17,1,N
9021,2014,4,15,14.6,1,N
9021,2014,4,16,16.7,1,N
9021,2014,4,17,8.2,1,N
9021,2014,4,18,13.3,1,N
9021,2014,4,19,9.2,1,N
9021,2014,4,20,11,1,N
9021,2014,4,21,7.4,1,N
9021,2014,4,22,5.6,1,N
9021,2014,4,23,6.2,1,N
9021,2014,4,24,16.3,1,N
9021,2014,4,25,14.6,1,N
9021,2014,4,26,14.4,1,N
9021,2014,4,27,16.9,1,N
9021,2014,4,28,10.9,1,N
9021,2014,4,29,5.9,1,N
9021,2014,4,30,8.6,1,N
9021,2014,5,1,5.2,1,N
9021,2014,5,2,7.4,1,N
9021,2014,5,3,5.6,1,N
9021,2014,5,4,14.3,1,N
9021,2014,5,5,13.9,1,N
9021,2014,5,6,15.2,1,N
9021,2014,5,7,17.6,1,N
9021,2014,5,8,12.5,1,N
9021,2014,5,9,11.5,1,N
9021,2014,5,10,13.2,1,N
9021,2014,5,11,11.1,1,N
9021,2014,5,12,11.1,1,N
9021,2014,5,13,10.7,1,N
9021,2014,5,14,11.8,1,N
9021,2014,5,15,12.5,1,N
9021,2014,5,16,10.2,1,N
9021,2014,5,17,10.6,1,N
9021,2014,5,18,11.3,1,N
9021,2014,5,19,15.3,1,N
9021,2014,5,20,15.5,1,N
9021,2014,5,21,14.9,1,N
9021,2014,5,22,12.8,1,N
9021,2014,5,23,14.6,1,N
9021,2014,5,24,14,1,N
9021,2014,5,25,11.6,1,N
9021,2014,5,26,13.2,1,N
9021,2014,5,27,13.7,1,N
9021,2014,5,28,10.6,1,N
9021,2014,5,29,8,1,N
9021,2014,5,30,6.2,1,N
9021,2014,5,31,9.4,1,N
