Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),Sunny
9021,2014,1,1,30.3,TRUE
9021,2014,1,2,26.4,TRUE
9021,2014,1,3,33.3,TRUE
9021,2014,1,4,33.6,TRUE
9021,2014,1,5,33.4,TRUE
9021,2014,1,6,30.9,TRUE
9021,2014,1,7,32.7,TRUE
9021,2014,1,8,30.4,TRUE
9021,2014,1,9,32.7,TRUE
9021,2014,1,10,32.5,TRUE
9021,2014,1,11,32.3,TRUE
9021,2014,1,12,32.2,TRUE
9021,2014,1,13,28.3,TRUE
9021,2014,1,14,31.9,TRUE
9021,2014,1,15,30.8,TRUE
9021,2014,1,16,28.9,TRUE
9021,2014,1,17,32.5,TRUE
9021,2014,1,18,32.5,TRUE
9021,2014,1,19,32.1,TRUE
9021,2014,1,20,31.2,TRUE
9021,2014,1,21,31,TRUE
9021,2014,1,22,29.5,TRUE
9021,2014,1,23,29.5,TRUE
9021,2014,1,24,24.9,TRUE
9021,2014,1,25,22.5,TRUE
9021,2014,1,26,30,TRUE
9021,2014,1,27,29.2,TRUE
9021,2014,1,28,31.6,TRUE
9021,2014,1,29,30.2,TRUE
9021,2014,1,30,29,TRUE
9021,2014,1,31,25.3,TRUE
9021,2014,2,1,29.5,TRUE
9021,2014,2,2,29.8,TRUE
9021,2014,2,3,29.8,TRUE
9021,2014,2,4,29.1,TRUE
9021,2014,2,5,28.1,TRUE
9021,2014,2,6,27.9,TRUE
9021,2014,2,7,28.9,TRUE
9021,2014,2,8,29.2,TRUE
9021,2014,2,9,29.2,TRUE
9021,2014,2,10,26.9,TRUE
9021,2014,2,11,27.4,TRUE
9021,2014,2,12,24.7,TRUE
9021,2014,2,13,27.2,TRUE
9021,2014,2,14,27.5,TRUE
9021,2014,2,15,27.9,TRUE
9021,2014,2,16,21.6,TRUE
9021,2014,2,17,27.3,TRUE
9021,2014,2,18,28.5,TRUE
9021,2014,2,19,28.2,TRUE
9021,2014,2,20,26.1,TRUE
9021,2014,2,21,27,TRUE
9021,2014,2,22,25.2,TRUE
9021,2014,2,23,26.6,TRUE
9021,2014,2,24,26.7,TRUE
9021,2014,2,25,26,TRUE
9021,2014,2,26,26.6,TRUE
9021,2014,2,27,26.6,TRUE
9021,2014,2,28,26.3,TRUE
9021,2014,3,1,26.3,TRUE
9021,2014,3,2,25.2,TRUE
9021,2014,3,3,23.9,TRUE
9021,2014,3,4,24.4,TRUE
9021,2014,3,5,24.8,TRUE
9021,2014,3,6,24.5,TRUE
9021,2014,3,7,23.5,TRUE
9021,2014,3,8,18.2,TRUE
9021,2014,3,9,24.2,TRUE
9021,2014,3,10,24.2,TRUE
9021,2014,3,11,23.8,TRUE
9021,2014,3,12,20.4,TRUE
9021,2014,3,13,10.9,FALSE
9021,2014,3,14,21.9,TRUE
9021,2014,3,15,22.9,TRUE
9021,2014,3,16,22.7,TRUE
9021,2014,3,17,22.6,TRUE
9021,2014,3,18,22.5,TRUE
9021,2014,3,19,22.2,TRUE
9021,2014,3,20,21.8,TRUE
9021,2014,3,21,18.9,TRUE
9021,2014,3,22,19.6,TRUE
9021,2014,3,23,20.1,TRUE
9021,2014,3,24,19.2,TRUE
9021,2014,3,25,7.8,FALSE
9021,2014,3,26,11.1,FALSE
9021,2014,3,27,20.6,TRUE
9021,2014,3,28,20.4,TRUE
9021,2014,3,29,7.2,FALSE
9021,2014,3,30,12.1,FALSE
9021,2014,3,31,11,FALSE
9021,2014,4,1,16.8,TRUE
9021,2014,4,2,20.4,TRUE
